solve_id,solver,solve_time,pll,pll_time,Split,STM,STPS,ETM,ETPS
12926,Radosław Marcinek,6.27,,0.00,0.0%,0,n/a,0,n/a
12925,Radosław Marcinek,4.37,,0.00,0.0%,0,n/a,0,n/a
12924,Radosław Marcinek,5.71,,0.00,0.0%,0,n/a,0,n/a
12923,Radosław Marcinek,6.40,,0.00,0.0%,0,n/a,0,n/a
12922,Radosław Marcinek,5.18,R' U' R U D' R2 U R' U R U' R U' R2' U D,1.31,25.3%,16,12.21,16,12.21
12921,Dylan Miller,4.40,U U' R2 U R' U R' U' R U' R2 D U' R' U R D' U2',1.37,31.1%,18,13.14,18,13.14
12920,Dylan Miller,4.60,U' R' U2 R' D' R U' R' D R U R U' R' U' R,1.03,22.4%,16,15.53,16,15.53
12919,Dylan Miller,5.26,U' R2 U R' U R' U' R U' R2 U' D R' U R D' U,1.53,29.1%,17,11.11,17,11.11
12918,Dylan Miller,6.72,U U' R' U' R U D' R2 U R' U R U' R U' R2' U' D U',1.95,29.0%,19,9.74,19,9.74
12917,Dylan Miller,4.27,U R U R' F' R U R' U' R' F R2 U' R' U,0.84,19.7%,15,17.86,15,17.86
12916,Dylan Miller,5.46,U x R2' D2 R U R' D2 R U' R x' U',1.46,26.7%,11,7.53,13,8.90
12915,Dylan Miller,5.42,M2' U' M U2' M' U' M2',0.89,16.4%,7,7.87,7,7.87
12914,Dylan Miller,4.46,,0.00,0.0%,0,n/a,0,n/a
12913,Dylan Miller,4.67,U R U R' U' D R2 U' R U' R' U R' U R2 D' U2',1.47,31.5%,17,11.56,17,11.56
12912,Dylan Miller,5.18,U2' R U R' U' D R2 U' R U' R' U R' U R2 D' U2',1.28,24.7%,17,13.28,17,13.28
12911,Dylan Miller,5.41,U L' U' L F L' U' L U L F' L2' U L,1.34,24.8%,14,10.45,14,10.45
12910,Dylan Miller,4.60,U' x R2' D2 R U R' D2 R U' R,1.00,21.7%,10,10.00,11,11.00
12903,Ryan Pilat,4.18,,0.00,0.0%,0,n/a,0,n/a
12891,Matty Hiroto Inaba,3.54,U' R2 U R' U R' U' R U' R2 D U' R' U R U' D' U',1.14,32.2%,18,15.79,18,15.79
12889,Andrew Feng,4.78,U' R U R' U' R' F R2 U' R' U' R U R' F' U',0.85,17.8%,16,18.82,16,18.82
12888,Andrew Feng,5.92,U' R U' R' U' R U D' D R D R' U' R D' R' U2 R' U,2.05,34.6%,19,9.27,19,9.27
12887,Andrew Feng,4.08,,0.00,0.0%,0,n/a,0,n/a
12886,Andrew Feng,4.16,,0.00,0.0%,0,n/a,0,n/a
12885,Andrew Feng,4.97,,0.00,0.0%,0,n/a,0,n/a
12874,Seung Hyuk Nahm,4.81,,0.00,0.0%,0,n/a,0,n/a
12873,Seung Hyuk Nahm,7.89,x' R U' R D2 R' U R D2 R2',2.29,29.0%,9,3.93,10,4.37
12872,Seung Hyuk Nahm,4.69,,0.00,0.0%,0,n/a,0,n/a
12871,Seung Hyuk Nahm,5.49,U' R U U' U' R' U' R U R D R' U' R D' R' U2 R' U',1.96,35.7%,19,9.69,19,9.69
12870,Seung Hyuk Nahm,5.60,,0.00,0.0%,0,n/a,0,n/a
12869,Ruihang Xu,5.42,x R2' F R F' R U2' r' U r U2',1.15,21.2%,10,8.70,11,9.57
12868,Ruihang Xu,5.30,U2' R U' R' U' R U R' U R' D' R U' R' D R2 U R' U,1.83,34.5%,19,10.38,19,10.38
12867,Ruihang Xu,4.17,U' R U R' U' D R2 U' R U' R' U R' U R2 u',1.14,27.3%,16,14.04,16,14.04
12866,Ruihang Xu,4.13,M2' U M U2' M' U M2' U',0.96,23.2%,8,8.33,8,8.33
12865,Ruihang Xu,4.84,U R U R' F' R U R' U' R' F R2 U' R',0.94,19.4%,14,14.89,14,14.89
12859,Dylan Miller,4.79,U' M2' U' M' U2' M U' M2' U',1.19,24.8%,9,7.56,9,7.56
12858,Dylan Miller,5.22,U R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R U',1.22,23.4%,20,16.39,20,16.39
12857,Dylan Miller,5.19,,0.00,0.0%,0,n/a,0,n/a
12856,Dylan Miller,4.30,M2' U' M' U2' M U' M2',0.83,19.3%,7,8.43,7,8.43
12855,Dylan Miller,5.98,U R' U2 R' D' R U' R' D R U R U' R' U' R U,1.28,21.4%,17,13.28,17,13.28
12854,Dylan Miller,4.32,,0.00,0.0%,0,n/a,0,n/a
12853,Dylan Miller,5.83,R U R2' F' R U R U' R' F R U' R' U',0.96,16.5%,14,14.58,14,14.58
12852,Dylan Miller,4.46,U' R2' U' R U' R U R' U R2 D' U R U' R' D,1.26,28.3%,16,12.70,16,12.70
12851,Dylan Miller,5.17,U' R U R' F' R R' U' R U U' R' U R U R' U' R' F R2 U' R',1.50,29.0%,22,14.67,22,14.67
12850,Dylan Miller,4.66,U x R' U R' D2 R U' R' D2 R2 x' U2,1.16,24.9%,11,9.48,13,11.21
12849,Dylan Miller,8.51,R U R' U R' U' R2 U' R' U R' U R U,0.78,9.2%,14,17.95,14,17.95
12848,Dylan Miller,4.30,,0.10,2.3%,1,10.00,1,10.00
12847,Kyle Santucci,3.52,r' D' F r U' r' F' D r2 U r' U' r' F r F',1.19,33.8%,16,13.45,16,13.45
12846,Kyle Santucci,5.80,U' R U' R' U' R U R D R' U' D' D R D' R' U2 R',1.53,26.4%,18,11.76,18,11.76
12845,Kyle Santucci,4.65,,0.00,0.0%,0,n/a,0,n/a
12844,Kyle Santucci,3.66,,0.00,0.0%,0,n/a,0,n/a
12843,Kyle Santucci,3.40,R U R' F' R U R' U' R' F R2 U' R' U2,0.83,24.4%,14,16.87,14,16.87
12837,Brenton Angelo Lo Wong,6.03,,0.00,0.0%,0,n/a,0,n/a
12836,Brenton Angelo Lo Wong,7.93,L' U R' U2 L U' L' U2 L R L R' x L' l,2.33,29.4%,14,6.01,15,6.44
12835,Brenton Angelo Lo Wong,6.03,,0.00,0.0%,0,n/a,0,n/a
12834,Brenton Angelo Lo Wong,6.40,U R U R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R',1.30,20.3%,22,16.92,22,16.92
12833,Brenton Angelo Lo Wong,6.08,U' R U R' F' R U R' U' R' F R2 U' R' U2,1.21,19.9%,15,12.40,15,12.40
12832,Leo Borromeo,3.36,,0.00,0.0%,0,n/a,0,n/a
12831,Leo Borromeo,6.67,,0.00,0.0%,0,n/a,0,n/a
12830,Leo Borromeo,5.24,,0.00,0.0%,0,n/a,0,n/a
12829,Leo Borromeo,6.73,U R U' U R' R2' F2 R U2 R U2' R' F R U R' U' R' F R2,1.75,26.0%,20,11.43,20,11.43
12828,Leo Borromeo,6.16,M' U M2' U M2' U M' U2 M2',1.31,21.3%,9,6.87,9,6.87
12827,Leo Borromeo,5.15,,0.00,0.0%,0,n/a,0,n/a
12826,Leo Borromeo,5.62,U2' F R U' R' U' R U R' F' R U R' U' R' F R F' U,1.60,28.5%,19,11.88,19,11.88
12825,Leo Borromeo,5.82,U2' R' U L' U2 R U' R' U2 R u,0.90,15.5%,11,12.22,11,12.22
12824,Leo Borromeo,5.99,R U R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R',2.77,46.2%,21,7.58,21,7.58
12823,Leo Borromeo,5.06,U' L' U R' U2 L U' L' U2 L R,1.23,24.3%,11,8.94,11,8.94
