solve_id,solver,solve_time,pll,pll_time,Split,STM,STPS,ETM,ETPS,Solver_count,U,U2,L,L2,F,F2,R,R2,B,B2,D,D2,simul,ghost_move
12921,Dylan Miller,4.4,U U' R2 U R' U R' U' R U' R2 D U' R' U R D' U2',0.45313703719490583,31.1%,18,13.14,18,13.14,125,8,1,0,0,0,0,5,2,0,0,2,0,2,1
12920,Dylan Miller,4.6,U' R' U2 R' D' R U' R' D R U R U' R' U' R,-0.7527692922217183,22.4%,16,15.53,16,15.53,125,5,1,0,0,0,0,8,0,0,0,2,0,0,0
12919,Dylan Miller,5.26,U' R2 U R' U R' U' R U' R2 U' D R' U R D' U,1.0206223686850815,29.1%,17,11.11,17,11.11,125,8,0,0,0,0,0,5,2,0,0,2,0,2,1
12918,Dylan Miller,6.72,U U' R' U' R U D' R2 U R' U R U' R U' R2' U' D U',2.510271363846793,29.0%,19,9.74,19,9.74,125,10,0,0,0,0,0,5,2,0,0,2,0,3,0
12917,Dylan Miller,4.27,U R U R' F' R U R' U' R' F R2 U' R' U,-1.4266581233663025,19.7%,15,17.86,15,17.86,125,6,0,0,0,2,0,6,1,0,0,0,0,0,0
12916,Dylan Miller,5.46,U x R2' D2 R U R' D2 R U' R x' U',0.7723475361581292,26.7%,11,7.53,13,8.9,125,4,0,0,0,0,0,4,1,0,0,0,2,0,0
12915,Dylan Miller,5.42,M2' U' M U2' M' U' M2',-1.2493189572756223,16.4%,7,7.87,7,7.87,125,2,1,0,0,0,0,0,0,0,0,0,0,0,0
12913,Dylan Miller,4.67,U R U R' U' D R2 U' R U' R' U R' U R2 D' U2',0.8078153693762653,31.5%,17,11.56,17,11.56,125,7,1,0,0,0,0,5,2,0,0,2,0,2,1
12912,Dylan Miller,5.18,U2' R U R' U' D R2 U' R U' R' U R' U R2 D' U2',0.13392653823168157,24.7%,17,13.28,17,13.28,125,6,2,0,0,0,0,5,2,0,0,2,0,2,1
12911,Dylan Miller,5.41,U L' U' L F L' U' L U L F' L2' U L,0.34673353754049774,24.8%,14,10.45,14,10.45,125,5,0,6,1,2,0,0,0,0,0,0,0,0,0
